SOMAMER_ID,UniProt,TargetFullName,Target
DEFB107A.6399.52.3,Q8IZN7,Beta-defensin 107,D107A
DEFB108B.5611.56.3,Q8NET1,Beta-defensin 108B,D108B
DEFB110.8340.9.3,Q30KQ9,Beta-defensin 110,DB110
DEFB112.5689.1.3,Q30KQ8,Beta-defensin 112,DB112
DEFB113.13374.4.3,Q30KQ7,Beta-defensin 113,DB113
DEFB115.8391.12.3,Q30KQ5,Beta-defensin 115,DB115
DEFB116.11144.10.3,Q30KQ4,Beta-defensin 116,DB116
DEFB118.9306.7.3,Q96PH6,Beta-defensin 118,DB118
DEFB119.10689.5.3,Q8N690,Beta-defensin 119,DB119
DEFB119.13455.10.3,Q8N690,Beta-defensin 119,DB119
DEFB119.8315.5.3,Q8N690,Beta-defensin 119,DB119
DEFB119.8370.102.3,Q8N690,Beta-defensin 119,DB119
DEFB121.5765.53.3,Q5J5C9,Beta-defensin 121,DB121
DEFB123.9362.11.3,Q8N688,Beta-defensin 123,DB123
DEFB125.9486.13.3,Q8N687,Beta-defensin 125,DB125
DEFB128.6360.7.3,Q7Z7B8,Beta-defensin 128,DB128
DEFB134.10610.8.3,Q4QY38,Beta-defensin 134,DB134
DEFB135.6411.58.3,Q30KP9,Beta-defensin 135,DB135
DEFB136.9332.6.3,Q30KP8,Beta-defensin 136,DB136
DEPP.7178.59.3,Q9NTK1,Protein DEPP,DEPP
DERL1.13393.46.3,Q9BUN8,Derlin-1,DERL1
DES.12030.82.3,P17661,Desmin,Desmin
DGCR14.11356.19.3,Q96DF8,Protein DGCR14,DGC14
DGCR2.8055.33.3,P98153,Integral membrane protein DGCR2/IDD,IDD
DGCR6.9444.70.3,Q14129,Protein DGCR6,DGCR6
DGKB.12895.28.3,Q9Y6T7,Diacylglycerol kinase beta,DGKB
DHFR.9823.2.3,P00374,Dihydrofolate reductase,DYR
DHH.4389.2.1,O43323,Desert hedgehog protein N-product,DHH
DHX38.13645.14.3,Q92620,Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16,PRP16
DHX58.14012.17.3,Q96C10,Probable ATP-dependent RNA helicase DHX58,LGP2
DHX8.11601.26.3,Q14562,ATP-dependent RNA helicase DHX8,DHX8
DHX9.10527.22.3,Q08211,ATP-dependent RNA helicase A,DHX9
DIABLO.3122.6.2,Q9NR28,"Diablo homolog, mitochondrial",SMAC
DIMT1.12694.28.3,Q9UNQ2,Probable dimethyladenosine transferase,DIM1
DIRAS3.12406.119.3,O95661,GTP-binding protein Di-Ras3,ARHI
DKK1.3535.84.1,O94907,Dickkopf-related protein 1,DKK1
DKK3.3607.71.6,Q9UBP4,Dickkopf-related protein 3,DKK3
DKK4.3365.7.2,Q9UBT3,Dickkopf-related protein 4,Dkk-4
DKKL1.3644.5.4,Q9UK85,Dickkopf-like protein 1,Soggy-1
DLD.10025.1.3,P09622,"Dihydrolipoyl dehydrogenase, mitochondrial",DLDH
DLG3.7897.75.3,Q92796,Disks large homolog 3,DLG3
DLK1.6496.60.3,P80370,Protein delta homolog 1,DLK1
DLK1.8380.244.4,P80370,Protein delta homolog 1,DLK1
DLK2.9359.9.3,Q6UY11,Protein delta homolog 2,EGFL9
DLL1.5349.69.3,O00548,Delta-like protein 1,DLL1
DLL1.8264.43.3,O00548,Delta-like protein 1,DLL1
DLL4.3305.6.1,Q9NR61,Delta-like protein 4,DLL4
DMKN.8535.102.3,Q6E0U4,Dermokine,Dermokine
DMPK.9010.3.3,Q09013,Myotonin-protein kinase,DMPK
DNAJA4.9744.139.3,Q8WW22,DnaJ homolog subfamily A member 4,DNJA4
DNAJB1.3852.19.2,P25685,DnaJ homolog subfamily B member 1,HSP 40
DNAJB11.7110.2.3,Q9UBS4,DnaJ homolog subfamily B member 11,DJB11
DNAJB12.8006.12.3,Q9NXW2,DnaJ homolog subfamily B member 12,DJB12
DNAJB14.8037.53.3,Q8TBM8,DnaJ homolog subfamily B member 14,DJB14
DNAJB14.8053.16.3,Q8TBM8,DnaJ homolog subfamily B member 14,DJB14
DNAJB2.11438.6.3,P25686,DnaJ homolog subfamily B member 2,DNJB2
DNAJB9.11214.40.3,Q9UBS3,DnaJ homolog subfamily B member 9,DNJB9
DNAJC10.8297.8.3,Q8IXB1,DnaJ homolog subfamily C member 10,DJC10
DNAJC15.7197.2.3,Q9Y5T4,DnaJ homolog subfamily C member 15,DJC15
DNAJC17.14655.1.3,Q9NVM6,DnaJ homolog subfamily C member 17,DJC17
DNAJC18.8033.1.3,Q9H819,DnaJ homolog subfamily C member 18,DJC18
DNAJC19.4545.53.3,Q96DA6,Mitochondrial import inner membrane translocase subunit TIM14,DnaJ homolog
DNAJC27.12799.65.3,Q9NZQ0,DnaJ homolog subfamily C member 27,DJC27
DNAJC30.7866.11.3,Q96LL9,DnaJ homolog subfamily C member 30,DJC30
DNAJC4.8016.19.3,Q9NNZ3,DnaJ homolog subfamily C member 4,DNJC4
DNASE2B.6533.20.3,Q8WZ79,Deoxyribonuclease-2-beta,DNS2B
DNER.11442.1.3,Q8NFT8,Delta and Notch-like epidermal growth factor-related receptor,DNER
DNER.9769.48.3,Q8NFT8,Delta and Notch-like epidermal growth factor-related receptor,DNER
DOCK9.14002.18.3,Q9BZ29,Dedicator of cytokinesis protein 9,DOCK9
DOK2.14246.50.3,O60496,Docking protein 2,DOK2
DPEP1.8794.13.3,P16444,Dipeptidase 1,DPEP1
DPEP2.8327.26.3,Q9H4A9,Dipeptidase 2,DPEP2
DPP10.7890.68.3,Q8N608,Inactive dipeptidyl peptidase 10,DPP10
DPP7.3608.12.5,Q9UHL4,Dipeptidyl peptidase 2,DPP2
DPP7.8346.9.3,Q9UHL4,Dipeptidyl peptidase 2,DPP2
DPT.4979.34.2,Q07507,Dermatopontin,DERM
DPY30.13943.38.3,Q9C005,Protein dpy-30 homolog,DPY30
DPYSL3.12707.26.3,Q14195,Dihydropyrimidinase-related protein 3,DPYL3
DPYSL5.12683.156.3,Q9BPU6,Dihydropyrimidinase-related protein 5,DPYL5
DRGX.8034.6.3,A6NNA5,Dorsal root ganglia homeobox protein,DRGX
DSC2.13126.52.3,Q02487,Desmocollin-2,DSC2
DSC3.4981.6.1,Q14574,Desmocollin-3,DSC3
DSCAM.9175.48.3,O60469,Down syndrome cell adhesion molecule,DSCAM
DSG1.2976.58.2,Q02413,Desmoglein-1,Desmoglein-1
DSG2.9484.75.3,Q14126,Desmoglein-2,Desmoglein-2
DTX1.11430.49.3,Q86Y01,E3 ubiquitin-protein ligase DTX1,DTX1
DTX3L.11643.73.3,Q8TDB6,E3 ubiquitin-protein ligase DTX3L,DTX3L
DUSP13.6525.17.3,Q6B8I1,Dual specificity protein phosphatase 13 isoform A,DUSP13
DUSP15.12838.28.3,Q9H1R2,Dual specificity protein phosphatase 15,DUS15
DUSP16.14631.22.3,Q9BY84,Dual specificity protein phosphatase 16,DUS16
DUSP4.10035.6.3,Q13115,Dual specificity protein phosphatase 4,DUS4
DUSP6.12341.8.3,Q16828,Dual specificity protein phosphatase 6,DUS6
DVL2.13575.40.3,O14641,Segment polarity protein dishevelled homolog DVL-2,DVL2
DYNAP.10692.48.3,Q8N1N2,Dynactin-associated protein,CR026
DYNLL1.3881.49.2,P63167,"Dynein light chain 1, cytoplasmic",DLC8
DYNLT3.12867.40.3,P51808,Dynein light chain Tctex-type 3,DYLT3
DYRK3.4359.87.1,O43781,Dual specificity tyrosine-phosphorylation-regulated kinase 3,DYRK3
ECE1.3611.70.4,P42892,Endothelin-converting enzyme 1,Endothelin-converting enzyme 1
ECE1.8767.44.3,P42892,Endothelin-converting enzyme 1,Endothelin-converting enzyme 1
EDA.14024.196.3,Q92838,"Ectodysplasin-A, secreted form",EDA
EDA.2826.53.2,Q92838,"Ectodysplasin-A, secreted form",EDA
EDA2R.3083.71.1,Q9HAV5,Tumor necrosis factor receptor superfamily member 27,XEDAR
EDAR.2977.7.2,Q9UNE0,Tumor necrosis factor receptor superfamily member EDAR,EDAR
EDC4.13066.42.3,Q6P2E9,Enhancer of mRNA-decapping protein 4,EDC4
EDDM3B.7782.34.3,P56851,Epididymal secretory protein E3-beta,EP3B
EDF1.12415.122.3,O60869,Endothelial differentiation-related factor 1,EDF1
EDN2.12574.36.3,P20800,Endothelin-2,Endothelin 2
EEA1.14043.12.3,Q15075,Early endosome antigen 1,EEA1
EEF1B2.5882.34.2,P24534,Elongation factor 1-beta,EF-1-beta
EFCAB14.10830.5.3,O75071,EF-hand calcium-binding domain-containing protein 14,K0494
EFHA2.6912.6.3,Q86XE3,"Calcium uptake protein 3, mitochondrial",EFHA2
EFNA2.14124.6.3,O43921,Ephrin-A2,Ephrin-A2
EFNA3.14153.8.3,P52797,Ephrin-A3,Ephrin-A3
EFNA3.5759.10.3,P52797,Ephrin-A3,Ephrin-A3
EFNA4.2614.28.2,P52798,Ephrin-A4,Ephrin-A4
EFNA5.2615.60.2,P52803,Ephrin-A5,Ephrin-A5
EFNB1.13104.32.3,P98172,Ephrin-B1,EFNB1
EFNB1.5746.37.3,P98172,Ephrin-B1,EFNB1
EFNB2.14131.37.3,P52799,Ephrin-B2,EFNB2
EFNB2.8772.5.3,P52799,Ephrin-B2,EFNB2
EFNB3.2514.65.3,Q15768,Ephrin-B3,Ephrin-B3
EFNB3.7785.1.3,Q15768,Ephrin-B3,Ephrin-B3
EGF.5509.7.3,P01133,Epidermal growth factor,EGF
EGFR.2677.1.1,P00533,Epidermal growth factor receptor,ERBB1
EGFR.5328.33.37,P00533,Epidermal growth factor receptor variant III,EGFRvIII
EHBP1.12813.18.3,Q8NDI1,EH domain-binding protein 1,EHBP1
EHD4.11421.10.3,Q9H223,EH domain-containing protein 4,EHD4
EHF.13387.55.3,Q9NZC4,ETS homologous factor,EHF
EHMT2.5843.60.3,Q96KQ7,Histone-lysine N-methyltransferase EHMT2,NG36
EID3.8079.39.3,Q8N140,EP300-interacting inhibitor of differentiation 3,EID3
EIF1AD.13545.97.3,Q8N9N8,Probable RNA-binding protein EIF1AD,EIF1A
EIF1AX.9850.38.3,P47813,"Eukaryotic translation initiation factor 1A, X-chromosomal",IF1AX
EIF2B1.10080.9.3,Q14232,Translation initiation factor eIF-2B subunit alpha,EI2BA
EIF3G.11454.87.3,O75821,Eukaryotic translation initiation factor 3 subunit G,EIF3G
EIF3J.13497.34.3,O75822,Eukaryotic translation initiation factor 3 subunit J,EIF3J
EIF4A3.4997.19.1,P38919,Eukaryotic initiation factor 4A-III,IF4A3
EIF4B.14675.20.3,P23588,Eukaryotic translation initiation factor 4B,IF4B
EIF4E2.9745.20.3,O60573,Eukaryotic translation initiation factor 4E type 2,IF4E2
EIF4EBP2.4184.43.3,Q13542,Eukaryotic translation initiation factor 4E-binding protein 2,4EBP2
EIF4G3.13991.47.3,O43432,Eukaryotic translation initiation factor 4 gamma 3,IF4G3
EIF5.2612.5.2,P55010,Eukaryotic translation initiation factor 5,eIF-5
EIF5A.5888.29.3,P63241,Eukaryotic translation initiation factor 5A-1,eIF-5A-1
ELAVL1.11592.1.3,Q15717,ELAV-like protein 1,ELAV1
ELF5.13457.33.3,Q9UKW6,ETS-related transcription factor Elf-5,ELF5
ELK1.10006.25.3,P19419,ETS domain-containing protein Elk-1,ELK1
ELK3.5707.55.3,P41970,ETS domain-containing protein Elk-3,ELK3
ELL.11459.81.3,P55199,RNA polymerase II elongation factor ELL,ELL
ELL2.11494.4.3,O00472,RNA polymerase II elongation factor ELL2,ELL2
ELMO1.12764.3.3,Q92556,Engulfment and cell motility protein 1,ELMO1
EMC1.11989.35.3,Q8N766,ER membrane protein complex subunit 1,EMC1
EMC4.13516.46.3,Q5J8M3,ER membrane protein complex subunit 4,TMM85
EMID1.13021.12.3,Q96A84,EMI domain-containing protein 1,EMID1
EMILIN3.8773.172.3,Q9NT22,EMILIN-3,EMIL3
EMILIN3.8964.14.3,Q9NT22,EMILIN-3,EMIL3
EMILIN3.9991.112.3,Q9NT22,EMILIN-3,EMIL3
ENAH.9757.29.3,Q8N8S7,Protein enabled homolog,ENAH
ENDOU.5656.53.3,P21128,Poly(U)-specific endoribonuclease,PP11
ENG.4908.6.1,P17813,Endoglin,Endoglin
ENO2.10339.48.3,P09104,Gamma-enolase,NSE
ENO2.11083.23.3,P09104,Gamma-enolase,NSE
ENOX2.13422.66.3,Q16206,Ecto-NOX disulfide-thiol exchanger 2,ENOX2
ENPP5.6556.5.3,Q9UJA9,Ectonucleotide pyrophosphatase/phosphodiesterase family member 5,ENPP5
ENPP7.4435.66.2,Q6UWV6,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,ENPP7
ENTHD2.7947.19.3,Q96N21,AP-4 complex accessory subunit tepsin,AP4AT
ENTPD1.3182.38.2,P49961,Ectonucleoside triphosphate diphosphohydrolase 1,CD39
ENTPD1.7999.23.3,P49961,Ectonucleoside triphosphate diphosphohydrolase 1,CD39
ENTPD3.4436.1.2,O75355,Ectonucleoside triphosphate diphosphohydrolase 3,ENTP3
ENTPD5.4437.56.3,O75356,Ectonucleoside triphosphate diphosphohydrolase 5,ENTP5
ENTPD6.8932.1.3,O75354,Ectonucleoside triphosphate diphosphohydrolase 6,ENTP6
EPHA1.3431.54.2,P21709,Ephrin type-A receptor 1,EphA1
EPHA10.6036.78.3,Q5JZY3,Ephrin type-A receptor 10,EPHAA
EPHA2.4834.61.2,P29317,Ephrin type-A receptor 2,Epithelial cell kinase
EPHA5.14089.41.3,P54756,Ephrin type-A receptor 5,EphA5
EPHA5.3806.55.1,P54756,Ephrin type-A receptor 5,EphA5
EPHB2.5077.28.3,P29323,Ephrin type-B receptor 2,EPHB2
EPHB2.8225.86.3,P29323,Ephrin type-B receptor 2,EPHB2
EPHB2.8348.4.3,P29323,Ephrin type-B receptor 2,EPHB2
EPHB3.9220.7.3,P54753,Ephrin type-B receptor 3,EPHB3
EPHB4.3612.6.4,P54760,Ephrin type-B receptor 4,EphB4
EPHB6.5078.82.3,O15197,Ephrin type-B receptor 6,EphB6
EPHB6.9261.14.3,O15197,Ephrin type-B receptor 6,EphB6
EPO.5813.58.3,P01588,Erythropoietin,Epo
EPOR.2715.25.2,P19235,Erythropoietin receptor,EPO-R
EPS15L1.4212.5.3,Q9UBC2,Epidermal growth factor receptor substrate 15-like 1,EP15R
EPYC.9278.9.3,Q99645,Epiphycan,Epiphycan
ERAP1.4964.67.1,Q9NZ08,Endoplasmic reticulum aminopeptidase 1,ARTS1
ERAP2.8960.3.3,Q6P179,Endoplasmic reticulum aminopeptidase 2,LRAP
ERBB2.2616.23.18,P04626,Receptor tyrosine-protein kinase erbB-2,ERBB2
ERBB3.2617.56.35,P21860,Receptor tyrosine-protein kinase erbB-3,ERBB3
ERCC1.12585.39.3,P07992,DNA excision repair protein ERCC-1,ERCC1
ERCC4.9895.77.3,Q92889,DNA repair endonuclease XPF,XPF
EREG.4956.2.1,O14944,Epiregulin,EPI
ERH.11614.29.3,P84090,Enhancer of rudimentary homolog,ERH
ERLEC1.8957.72.3,Q96DZ1,Endoplasmic reticulum lectin 1,XTP3B
ERLIN1.8776.10.3,O75477,Erlin-1,ERLN1
ERMAP.8631.13.3,Q96PL5,Erythroid membrane-associated protein,ERMAP
ERO1L.7060.2.3,Q96HE7,ERO1-like protein alpha,ERO1A
ERO1LB.7994.41.3,Q86YB8,ERO1-like protein beta,ERO1B
ERP29.13728.19.3,P30040,Endoplasmic reticulum resident protein 29,ERP29
ERP44.6064.4.3,Q9BS26,Endoplasmic reticulum resident protein 44,TXNDC4
ERVV.1.12531.5.3,B6SEH8,Endogenous retrovirus group V member 1 Env polyprotein,ERVV1
ESAM.2981.9.3,Q96AP7,Endothelial cell-selective adhesion molecule,ESAM
ESAM.7841.84.3,Q96AP7,Endothelial cell-selective adhesion molecule,ESAM
ESD.4984.83.1,P10768,S-formylglutathione hydrolase,Esterase D
ESM1.3805.16.2,Q9NQ30,Endothelial cell-specific molecule 1,Endocan
ESR1.2945.25.1,P03372,Estrogen receptor,ER
ETHE1.3847.56.2,O95571,"Persulfide dioxygenase ETHE1, mitochondrial",ETHE1
ETNK1.8328.9.3,Q9HBU6,Ethanolamine kinase 1,EKI1
ETS2.12350.86.3,P15036,Protein C-ets-2,ETS2
EVA1C.7008.13.3,P58658,Protein eva-1 homolog C,F176C
EVA1C.8877.22.3,P58658,Protein eva-1 homolog C,F176C
EVI2B.13028.2.3,P34910,Protein EVI2B,EVI2B
EVL.11656.110.3,Q9UI08,Ena/VASP-like protein,EVL
EVPL.14019.73.3,Q92817,Envoplakin,EVPL
EWSR1.12988.49.3,Q01844,RNA-binding protein EWS,EWS
EXOSC1.7930.3.3,Q9Y3B2,Exosome complex component CSL4,EXOS1
EXOSC3.12605.1.3,Q9NQT5,Exosome complex component RRP40,Exosome component 3
EXTL2.6528.95.3,Q9UBQ6,Exostosin-like 2,EXTL2
EZR.9753.17.3,P15311,Ezrin,Ezrin
F10.3077.66.2,P00742,Coagulation factor Xa,Coagulation Factor Xa
F10.4878.3.1,P00742,Coagulation Factor X,Coagulation Factor X
F2.5316.54.3,P00734,Prothrombin,Prothrombin
F3.4931.59.1,P13726,Tissue Factor,TF
F8.13499.30.3,P00451,Coagulation Factor VIII,Coagulation Factor VIII
FAAH2.8396.42.3,Q6GMR7,Fatty-acid amide hydrolase 2,FAAH2
FABP1.11516.7.3,P07148,"Fatty acid-binding protein, liver",FABPL
FABP3.4696.2.2,P05413,"Fatty acid-binding protein, heart",FABP
FABP4.9851.9.3,P15090,"Fatty acid-binding protein, adipocyte",FABPA
FABP5.4985.11.1,Q01469,"Fatty acid-binding protein, epidermal",FABPE
FAF2.6956.37.3,Q96CS3,FAS-associated factor 2,FAF2
FAF2.8761.7.3,Q96CS3,FAS-associated factor 2,FAF2
FAF2.9738.7.3,Q96CS3,FAS-associated factor 2,FAF2
FAH.11424.4.3,P16930,Fumarylacetoacetase,FAAA
FAIM3.6574.11.3,O60667,Fas apoptotic inhibitory molecule 3,FAIM3
FAM107A.2760.2.2,O95990,Protein FAM107A,DRR1
FAM107B.4774.62.3,Q9H098,Protein FAM107B,FAM107B
FAM107B.7801.30.3,Q9H098,Protein FAM107B,FAM107B
FAM134B.8556.5.3,Q9H6L5,Protein FAM134B,F134B
FAM150B.6284.7.3,Q6UX46,Protein FAM150B,F150B
FAM151A.7856.51.3,Q8WW52,Protein FAM151A,F151A
FAM159B.10504.6.3,A6NKW6,Membrane protein FAM159B,F159B
FAM163A.6260.14.3,Q96GL9,Protein FAM163A,F163A
FAM163B.10880.38.3,P0C2L3,Protein FAM163B,F163B
FAM171B.8061.102.3,Q6P995,Protein FAM171B,F171B
FAM171B.8786.6.3,Q6P995,Protein FAM171B,F171B
FAM171B.8851.42.3,Q6P995,Protein FAM171B,F171B
FAM172A.5615.62.3,Q8WUF8,Protein FAM172A,F172A
FAM173A.7148.42.3,Q9BQD7,Protein FAM173A,F173A
FAM174A.6597.24.3,Q8TBP5,Membrane protein FAM174A,TM157
FAM174B.9054.8.3,Q3ZCQ3,Membrane protein FAM174B,F174B
FAM175B.8945.7.3,Q15018,BRISC complex subunit Abro1,F175B
FAM177A1.8039.41.3,Q8N128,Protein FAM177A1,F177A
FAM189A2.5699.19.3,Q15884,Protein FAM189A2,CI061
FAM189A2.5719.66.3,Q15884,Protein FAM189A2,CI061
FAM19A2.6430.36.3,Q8N3H0,Protein FAM19A2,F19A2
FAM19A3.7839.99.3,Q7Z5A8,Protein FAM19A3,F19A3
FAM19A4.6511.17.3,Q96LR4,Protein FAM19A4,F19A4
FAM19A5.5609.92.3,Q7Z5A7,Protein FAM19A5,F19A5
FAM209B.7066.199.4,Q5JX69,Protein FAM209B,F209B
FAM20A.6433.57.3,Q96MK3,Pseudokinase FAM20A,FA20A
FAM20B.7198.197.3,O75063,Glycosaminoglycan xylosylkinase,FA20B
FAM213A.13423.94.3,Q9BRX8,Redox-regulatory protein FAM213A,CJ058
FAM24B.8775.61.3,Q8N5W8,Protein FAM24B,FA24B
FAM3B.5618.50.3,P58499,Protein FAM3B,FAM3B
FAM3B.9177.6.3,P58499,Protein FAM3B,FAM3B
FAM3D.13102.1.3,Q96BQ1,Protein FAM3D,FAM3D
FAM96A.8787.21.3,Q9H5X1,MIP18 family protein FAM96A,FA96A
FANCL.10063.10.3,Q9NW38,E3 ubiquitin-protein ligase FANCL,FANCL
FAP.5029.3.1,Q12884,Prolyl endopeptidase FAP,SEPR
FARS2.13941.82.3,O95363,"Phenylalanine--tRNA ligase, mitochondrial",SYFM
FAS.5392.73.2,P25445,Tumor necrosis factor receptor superfamily member 6,"Fas, soluble"
FAS.9218.7.3,P25445,Tumor necrosis factor receptor superfamily member 6,"Fas, soluble"
FAS.9459.7.3,P25445,Tumor necrosis factor receptor superfamily member 6,"Fas, soluble"
FASLG.3052.8.2,P48023,"Tumor necrosis factor ligand superfamily member 6, soluble form","Fas ligand, soluble"
FATE1.7740.33.3,Q969F0,Fetal and adult testis-expressed transcript protein,FATE1
FAXDC2.9074.6.3,Q96IV6,Fatty acid hydroxylase domain-containing protein 2,CE004
FBLN1.6470.19.3,P23142,Fibulin-1,fibulin 1
FBP1.7206.20.3,P09467,"Fructose-1,6-bisphosphatase 1",F16P1
FBP2.9867.23.3,O00757,"Fructose-1,6-bisphosphatase isozyme 2",F16P2
FBXL4.11416.23.3,Q9UKA2,F-box/LRR-repeat protein 4,FBXL4
FBXL4.9921.14.3,Q9UKA2,F-box/LRR-repeat protein 4,FBXL4
FBXL4.9951.36.3,Q9UKA2,F-box/LRR-repeat protein 4,FBXL4
FBXL5.12846.3.3,Q9UKA1,F-box/LRR-repeat protein 5,FBXL5
FBXO3.14628.72.3,Q9UK99,F-box only protein 3,FBX3
FCAMR.9568.289.3,Q8WWV6,High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor,FCAMR
FCAR.4987.17.1,P24071,Immunoglobulin alpha Fc receptor,FCAR
FCER2.3291.30.2,P06734,Low affinity immunoglobulin epsilon Fc receptor,CD23
FCGR1A.3312.64.1,P12314,High affinity immunoglobulin gamma Fc receptor I,FCGR1
FCGR2A.3309.2.2,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a,FCG2A
FCGR2B.3310.62.1,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b,FCG2B
FCGR3B.3311.27.1,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,FCG3B
FCN1.3613.62.5,O00602,Ficolin-1,FCN1
FCN2.3313.21.2,Q15485,Ficolin-2,FCN2
FCRL1.5728.60.3,Q96LA6,Fc receptor-like protein 1,FCRL1
FCRL2.7951.146.3,Q96LA5,Fc receptor-like protein 2,FCRL2
FCRL3.4440.15.2,Q96P31,Fc receptor-like protein 3,FCRL3
FCRL4.8973.23.3,Q96PJ5,Fc receptor-like protein 4,FCRL4
FCRL5.6103.70.3,Q96RD9,Fc receptor-like protein 5,FCRL5
FCRL6.6617.12.3,Q6DN72,Fc receptor-like protein 6,FCRL6
FEN1.12577.100.3,P39748,Flap endonuclease 1,FLAP endonuclease-1
FGA.FGB.FGG.4907.56.1,"P02671,P02675,P02679",D-dimer,D-dimer
FGF1.3486.58.2,P05230,Fibroblast growth factor 1,b-ECGF
FGF10.2441.2.4,O15520,Fibroblast growth factor 10,FGF-10
FGF16.13725.3.3,O43320,Fibroblast growth factor 16,FGF-16
FGF16.4393.3.1,O43320,Fibroblast growth factor 16,FGF-16
FGF19.2762.30.2,O95750,Fibroblast growth factor 19,FGF-19
FGF20.2763.66.2,Q9NP95,Fibroblast growth factor 20,FGF-20
FGF23.3807.1.2,Q9GZV9,Fibroblast growth factor 23,FGF23
FGF4.4123.60.2,P08620,Fibroblast growth factor 4,FGF-4
FGF5.3065.65.1,P12034,Fibroblast growth factor 5,FGF-5
FGF6.4130.71.1,P10767,Fibroblast growth factor 6,FGF-6
FGF7.14031.18.3,P21781,Fibroblast growth factor 7,FGF7
FGF7.4487.1.1,P21781,Fibroblast growth factor 7,FGF7
FGF8.2443.10.4,P55075,Fibroblast growth factor 8 isoform B,FGF-8B
FGF8.4394.71.2,P55075,Fibroblast growth factor 8 isoform A,FGF-8A
FGF9.2764.20.2,P31371,Fibroblast growth factor 9,FGF9
FGFR2.3808.76.2,P21802,Fibroblast growth factor receptor 2,FGFR-2
FGFR3.13669.6.3,P22607,Fibroblast growth factor receptor 3,FGFR-3
FGFR3.3809.1.2,P22607,Fibroblast growth factor receptor 3,FGFR-3
FGFR4.4988.49.2,P22455,Fibroblast growth factor receptor 4,FGFR4
FGR.3810.50.2,P09769,Tyrosine-protein kinase Fgr,FGR
FHIT.9826.135.3,P49789,Bis(5'-adenosyl)-triphosphatase,Fragile histidine triad protein
FIBCD1.9378.6.3,Q8N539,Fibrinogen C domain-containing protein 1,FBCD1
FIG4.6948.82.3,Q92562,Polyphosphoinositide phosphatase,FIG4
FIGF.13098.93.3,O43915,Vascular endothelial growth factor D,VEGF-D
FIGF.14705.1.3,O43915,Vascular endothelial growth factor D,VEGF-D
FJX1.7921.65.3,Q86VR8,Four-jointed box protein 1,FJX1
FKBP14.9340.17.3,Q9NWM8,Peptidyl-prolyl cis-trans isomerase FKBP14,FKB14
FKBP2.9339.204.3,P26885,Peptidyl-prolyl cis-trans isomerase FKBP2,FKBP2
FKBP6.12529.32.3,O75344,Inactive peptidyl-prolyl cis-trans isomerase FKBP6,FKBP6
FKBP7.9288.7.3,Q9Y680,Peptidyl-prolyl cis-trans isomerase FKBP7,FKBP7
FLNA.11108.16.3,P21333,Filamin-A,filamin A
FLNA.11124.9.3,P21333,Filamin-A,filamin A
FLNA.11170.9.3,P21333,Filamin-A,filamin A
FLNA.12906.137.3,P21333,Filamin-A,filamin A
FLRT1.13739.3.3,Q9NZU1,Leucine-rich repeat transmembrane protein FLRT1,FLRT1
FLRT1.4547.59.2,Q9NZU1,Leucine-rich repeat transmembrane protein FLRT1,FLRT1
FLRT2.13122.19.3,O43155,Leucine-rich repeat transmembrane protein FLRT2,FLRT2
FLRT3.13123.3.3,Q9NZU0,Leucine-rich repeat transmembrane protein FLRT3,FLRT3
FLRT3.9128.34.3,Q9NZU0,Leucine-rich repeat transmembrane protein FLRT3,FLRT3
FLT3.3437.80.3,P36888,Receptor-type tyrosine-protein kinase FLT3,Flt-3
FLT3LG.14093.10.3,P49771,Fms-related tyrosine kinase 3 ligand,Flt3 ligand
FLT3LG.3053.49.2,P49771,Fms-related tyrosine kinase 3 ligand,Flt3 ligand
FLT4.2358.19.2,P35916,Vascular endothelial growth factor receptor 3,VEGF sR3
FLVCR1.9073.35.3,Q9Y5Y0,Feline leukemia virus subgroup C receptor-related protein 1,FLVC1
FN1.3435.53.2,P02751,Fibronectin Fragment 4,FN1.4
FNDC4.13451.2.3,Q9H6D8,Fibronectin type III domain-containing protein 4,FNDC4
FNDC5.8041.5.3,Q8NAU1,Fibronectin type III domain-containing protein 5,FNDC5
FOLH1.3218.8.2,Q04609,Glutamate carboxypeptidase 2,PSMA
FOLH1.5478.50.2,Q04609,Glutamate carboxypeptidase 2,PSMA
FOXC2.14051.54.3,Q99958,Forkhead box protein C2,FOXC2
FOXJ2.14204.55.3,Q9P0K8,Forkhead box protein J2,FOXJ2
FOXL2.11375.49.3,P58012,Forkhead box protein L2,FOXL2
FRK.10034.16.3,P42685,Tyrosine-protein kinase FRK,FRK
FRZB.13740.51.3,Q92765,Secreted frizzled-related protein 3,sFRP-3
FRZB.2841.13.2,Q92765,Secreted frizzled-related protein 3,sFRP-3
FST.4132.27.2,P19883,Follistatin,FST
FSTL1.13112.179.3,Q12841,Follistatin-related protein 1,FSTL1
FSTL1.9304.27.3,Q12841,Follistatin-related protein 1,FSTL1
FSTL3.3438.10.2,O95633,Follistatin-related protein 3,FSTL3
